"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Correspondence Address","Document Type","Publication Stage","Open Access","Source","EID"
"Chacón-Chaverri D.; Martínez-Cascante D.A.; Rojas D.; Fonseca L.G.","Chacón-Chaverri, Didiher (6503975180); Martínez-Cascante, David A. (57188695949); Rojas, David (57188703391); Fonseca, Luis G. (28067727400)","6503975180; 57188695949; 57188703391; 28067727400","Catch per unit effort and population structure of the Pacific green turtle (Chelonia mydas) in the Golfo Dulce, Costa Rica; [Captura por unidad de esfuerzo y estructura poblacional de la Tortuga verde de Pacífico (Chelonia mydas) en el Golfo Dulce, Costa Rica]","2015","Revista de Biologia Tropical","63","","","363","373","10","5","10.15517/rbt.v63i1.23115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962409020&doi=10.15517%2frbt.v63i1.23115&partnerID=40&md5=85195b5dc1a2d21eab9aec24dfd48fe8","WIDECAST-Costa Rica, Tibás, San José, Costa Rica; San Josecito de San Rafael, Heredia, Costa Rica","Chacón-Chaverri D., WIDECAST-Costa Rica, Tibás, San José, Costa Rica; Martínez-Cascante D.A., San Josecito de San Rafael, Heredia, Costa Rica; Rojas D., WIDECAST-Costa Rica, Tibás, San José, Costa Rica; Fonseca L.G., WIDECAST-Costa Rica, Tibás, San José, Costa Rica","Entanglement nests; Foraging grounds; Mangroves; Sea grass","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84962409020"
"Cahill A.E.; Viard F.","Cahill, Abigail E. (54881519000); Viard, Frédérique (57204281476)","54881519000; 57204281476","Genetic structure in native and non-native populations of the direct-developing gastropod Crepidula convexa","2014","Marine Biology","161","10","","2433","2443","10","11","10.1007/s00227-014-2519-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027942781&doi=10.1007%2fs00227-014-2519-2&partnerID=40&md5=85e0f4036309e182f77cf3a929cb3f00","Department of Ecology and Evolution, Stony Brook University, Stony Brook, 11794-5245, NY, United States; CNRS, UMR 7144, Team Div&Co, Lab. Adaptation et Diversité en Milieu Marin, Station Biologique de Roscoff, Roscoff, 29682, France; Sorbonne Universités, UPMC Univ Paris 06, UMR 7144, Roscoff, 29682, France","Cahill A.E., Department of Ecology and Evolution, Stony Brook University, Stony Brook, 11794-5245, NY, United States; Viard F., CNRS, UMR 7144, Team Div&Co, Lab. Adaptation et Diversité en Milieu Marin, Station Biologique de Roscoff, Roscoff, 29682, France, Sorbonne Universités, UPMC Univ Paris 06, UMR 7144, Roscoff, 29682, France","","","Article","Final","","Scopus","2-s2.0-85027942781"
"Canales-Aguirre C.B.; Quiñones A.; Hernández C.E.; Neill P.E.; Brante A.","Canales-Aguirre, C.B. (26436342100); Quiñones, A. (55303633700); Hernández, C.E. (7202905337); Neill, P.E. (11738826500); Brante, A. (6508259082)","26436342100; 55303633700; 7202905337; 11738826500; 6508259082","Population genetics of the invasive cryptogenic anemone, Anemonia alicemartinae, along the southeastern Pacific coast","2015","Journal of Sea Research","102","","","1","9","8","11","10.1016/j.seares.2015.03.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983179838&doi=10.1016%2fj.seares.2015.03.005&partnerID=40&md5=918b90aa36f260fe799c33cb56d62028","Departamento de Ecología, Facultad de Ciencias. Universidad Católica de la Santísima Concepción, Casilla 294, Concepción, Chile; Laboratorio de Ecología Evolutiva y Filoinformática, Departamento de Zoología, Facultad de Ciencias Naturales y Oceanográficas, Universidad de Concepción, Casilla 160-C, Concepción, Chile; Laboratorio de Genética y Acuicultura, Departamento de Oceanografía, Facultad de Ciencias Naturales y Oceanográficas, Universidad de Concepción Casilla 160-C, Concepción, Chile; The Thomas Jefferson School, Department of Applied Sciences, Ave. Jorge Alessandri, Parcela 26, Concepción, Chile","Canales-Aguirre C.B., Departamento de Ecología, Facultad de Ciencias. Universidad Católica de la Santísima Concepción, Casilla 294, Concepción, Chile, Laboratorio de Ecología Evolutiva y Filoinformática, Departamento de Zoología, Facultad de Ciencias Naturales y Oceanográficas, Universidad de Concepción, Casilla 160-C, Concepción, Chile, Laboratorio de Genética y Acuicultura, Departamento de Oceanografía, Facultad de Ciencias Naturales y Oceanográficas, Universidad de Concepción Casilla 160-C, Concepción, Chile; Quiñones A., Departamento de Ecología, Facultad de Ciencias. Universidad Católica de la Santísima Concepción, Casilla 294, Concepción, Chile; Hernández C.E., Laboratorio de Ecología Evolutiva y Filoinformática, Departamento de Zoología, Facultad de Ciencias Naturales y Oceanográficas, Universidad de Concepción, Casilla 160-C, Concepción, Chile; Neill P.E., Departamento de Ecología, Facultad de Ciencias. Universidad Católica de la Santísima Concepción, Casilla 294, Concepción, Chile, The Thomas Jefferson School, Department of Applied Sciences, Ave. Jorge Alessandri, Parcela 26, Concepción, Chile; Brante A., Departamento de Ecología, Facultad de Ciencias. Universidad Católica de la Santísima Concepción, Casilla 294, Concepción, Chile","COI; Demographic Expansion; Human-mediated Transport; Humboldt Current Ecosystem; Invasion Genetics; Marine Invasions","A. Brante; Departamento de Ecología. Facultad de Ciencias, Universidad Católica de la Santísima Concepción, Concepción, Casilla 294, Chile; email: abrante@ucsc.cl","Article","Final","","Scopus","2-s2.0-84983179838"
"Viricel A.; Rosel P.E.","Viricel, Amélia (8966280400); Rosel, Patricia E. (35617560300)","8966280400; 35617560300","Hierarchical population structure and habitat differences in a highly mobile marine species: The Atlantic spotted dolphin","2014","Molecular Ecology","23","20","","5018","5035","17","28","10.1111/mec.12923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907898008&doi=10.1111%2fmec.12923&partnerID=40&md5=2ca812ae7b6eafdc69e1cc5c6c158cd9","Department of Biology, University of Louisiana at Lafayette, Billeaud Hall, 300 E. St. Mary Boulevard, Lafayette, 70504, LA, United States; National Marine Fisheries Service, Southeast Fisheries Science Center, 646 Cajundome Boulevard, Lafayette, 70506, LA, United States; Littoral, Environnement et Sociétés (LIENSs), UMR 7266 CNRS, Université de la Rochelle, 2 rue Olympe de Gouges, La-Rochelle, 17000, France","Viricel A., Department of Biology, University of Louisiana at Lafayette, Billeaud Hall, 300 E. St. Mary Boulevard, Lafayette, 70504, LA, United States, National Marine Fisheries Service, Southeast Fisheries Science Center, 646 Cajundome Boulevard, Lafayette, 70506, LA, United States, Littoral, Environnement et Sociétés (LIENSs), UMR 7266 CNRS, Université de la Rochelle, 2 rue Olympe de Gouges, La-Rochelle, 17000, France; Rosel P.E., National Marine Fisheries Service, Southeast Fisheries Science Center, 646 Cajundome Boulevard, Lafayette, 70506, LA, United States","cetacean; management units; microsatellites; mitochondrial control region; stock structure; subspecies","","Article","Final","","Scopus","2-s2.0-84907898008"
"Wallace S.J.; Wolf S.G.; Bradley R.W.; Harvey A.L.; Friesen V.L.","Wallace, Sarah J. (56479948000); Wolf, Shaye G. (14421714300); Bradley, Russell W. (7401460042); Harvey, Laurie (56480109300); Friesen, Vicki L. (7003350901)","56479948000; 14421714300; 7401460042; 56480109300; 7003350901","The influence of biogeographical barriers on the population genetic structure and gene flow in a coastal Pacific seabird","2015","Journal of Biogeography","42","2","","390","400","10","13","10.1111/jbi.12404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920877456&doi=10.1111%2fjbi.12404&partnerID=40&md5=241c435b3d652cc56088e9961daaa137","Department of Biology, Queen's University, Kingston, K7L 3N6, ON, Canada; Center for Biological Diversity, San Francisco, 94104, CA, United States; Point Blue Conservation Science (formerly PRBO), Petaluma, 94954, CA, United States; California Institute of Environmental Studies, Ventura, 93001, CA, United States","Wallace S.J., Department of Biology, Queen's University, Kingston, K7L 3N6, ON, Canada; Wolf S.G., Center for Biological Diversity, San Francisco, 94104, CA, United States; Bradley R.W., Point Blue Conservation Science (formerly PRBO), Petaluma, 94954, CA, United States; Harvey A.L., California Institute of Environmental Studies, Ventura, 93001, CA, United States; Friesen V.L., Department of Biology, Queen's University, Kingston, K7L 3N6, ON, Canada","Cassin's auklet; Conservation biogeography; Gene flow; Genetic differentiation; Marine biogeography; North America; Population differentiation mechanisms; Ptychoramphus aleuticus; Seabird","","Article","Final","","Scopus","2-s2.0-84920877456"
"Marengo M.; Durieux E.D.H.; Marchand B.; Francour P.","Marengo, Michel (56282468100); Durieux, Eric D. H. (15839229000); Marchand, Bernard (7004914598); Francour, Patrice (6701462157)","56282468100; 15839229000; 7004914598; 6701462157","A review of biology, fisheries and population structure of Dentex dentex (Sparidae)","2014","Reviews in Fish Biology and Fisheries","24","4","","","","1088","25","10.1007/s11160-014-9363-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939895428&doi=10.1007%2fs11160-014-9363-9&partnerID=40&md5=cb4ff688e7049111bf23aa796ef34151","UMR 6134 CNRS-UCPP Science for Environment, University of Corsica Pasquale Paoli, Corte, 20250, France; UMS 3514 CNRS-UCPP Stella Mare Platform, University of Corsica Pasquale Paoli, Biguglia, 20620, France; EA 4228 ECOMERS, University of Nice-Sophia Antipolis, Nice Cedex 2, 06108, France","Marengo M., UMR 6134 CNRS-UCPP Science for Environment, University of Corsica Pasquale Paoli, Corte, 20250, France, UMS 3514 CNRS-UCPP Stella Mare Platform, University of Corsica Pasquale Paoli, Biguglia, 20620, France; Durieux E.D.H., UMR 6134 CNRS-UCPP Science for Environment, University of Corsica Pasquale Paoli, Corte, 20250, France, UMS 3514 CNRS-UCPP Stella Mare Platform, University of Corsica Pasquale Paoli, Biguglia, 20620, France; Marchand B., UMR 6134 CNRS-UCPP Science for Environment, University of Corsica Pasquale Paoli, Corte, 20250, France, UMS 3514 CNRS-UCPP Stella Mare Platform, University of Corsica Pasquale Paoli, Biguglia, 20620, France; Francour P., EA 4228 ECOMERS, University of Nice-Sophia Antipolis, Nice Cedex 2, 06108, France","Conservation; Dentexdentex; Fisheries; Life-history; Parasitology; Population structure","","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84939895428"
"Williams R.C.; Jackson B.C.; Duvaux L.; Dawson D.A.; Burke T.; Sinclair W.","Williams, Rachel C. (55844424100); Jackson, Benjamin C. (14015846900); Duvaux, Ludovic (54381562300); Dawson, Deborah A. (34871764100); Burke, Terry (7201662030); Sinclair, William (7102516441)","55844424100; 14015846900; 54381562300; 34871764100; 7201662030; 7102516441","The genetic structure of Nautilus pompilius populations surrounding Australia and the Philippines","2015","Molecular Ecology","24","13","","3316","3328","12","11","10.1111/mec.13255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933277527&doi=10.1111%2fmec.13255&partnerID=40&md5=e66b2e596f1ba610fc13298950e58861","Centre for Wildlife Conservation, University of Cumbria, Ambleside, LA22 9BJ, United Kingdom; Department of Animal and Plant Sciences, NERC Biomolecular Analysis Facility, University of Sheffield, Sheffield, S10 2TN, United Kingdom; Department of Animal and Plant Sciences, University of Sheffield, Sheffield, S10 2TN, United Kingdom","Williams R.C., Centre for Wildlife Conservation, University of Cumbria, Ambleside, LA22 9BJ, United Kingdom, Department of Animal and Plant Sciences, NERC Biomolecular Analysis Facility, University of Sheffield, Sheffield, S10 2TN, United Kingdom; Jackson B.C., Department of Animal and Plant Sciences, University of Sheffield, Sheffield, S10 2TN, United Kingdom; Duvaux L., Department of Animal and Plant Sciences, University of Sheffield, Sheffield, S10 2TN, United Kingdom; Dawson D.A., Department of Animal and Plant Sciences, NERC Biomolecular Analysis Facility, University of Sheffield, Sheffield, S10 2TN, United Kingdom; Burke T., Department of Animal and Plant Sciences, NERC Biomolecular Analysis Facility, University of Sheffield, Sheffield, S10 2TN, United Kingdom; Sinclair W., Centre for Wildlife Conservation, University of Cumbria, Ambleside, LA22 9BJ, United Kingdom","approximate Bayesian computation; cephalopod; marine conservation; microsatellite; population structure","R.C. Williams; Centre for Wildlife Conservation, University of Cumbria, Ambleside, LA22 9BJ, United Kingdom; email: Williams.RachelC@gmail.com","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84933277527"
"Kartavtsev Y.P.; Johnson M.S.","Kartavtsev, Yuri Ph (11540803100); Johnson, M.S. (55723910100)","11540803100; 55723910100","Molecular evolution and population genetics for marine biologists","2015","Molecular Evolution and Population Genetics for Marine Biologists","","","","1","347","346","1","10.1201/b18710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954560806&doi=10.1201%2fb18710&partnerID=40&md5=1b33f5b8d23b18f978b3a6d21979bc2b","A.V. Zhirmunsky Institute of Marine Biology Far Eastern Branch of Russian Academy of Sciences, Far Eastern Federal University, Vladivostok, Russian Federation; The University of Western Australia, Crawley, Perth, Australia","Kartavtsev Y.P., A.V. Zhirmunsky Institute of Marine Biology Far Eastern Branch of Russian Academy of Sciences, Far Eastern Federal University, Vladivostok, Russian Federation; Johnson M.S., The University of Western Australia, Crawley, Perth, Australia","","","Book","Final","","Scopus","2-s2.0-84954560806"
"Giles J.L.; Ovenden J.R.; Dharmadi D.; Al Mojil D.; Garvilles E.; Khampetch K.-O.; Manjebrayakath H.; Riginos C.","Giles, Jenny L. (15062688300); Ovenden, Jennifer R. (8132062100); Dharmadi, D. (56100171100); Al Mojil, Dareen (56086236900); Garvilles, Elaine (56100395400); Khampetch, Kanok-On (56100212200); Manjebrayakath, Hashim (55135813800); Riginos, Cynthia (6603230581)","15062688300; 8132062100; 56100171100; 56086236900; 56100395400; 56100212200; 55135813800; 6603230581","Extensive genetic population structure in the Indo-West Pacific spot-tail shark, Carcharhinus sorrah","2014","Bulletin of Marine Science","90","1","","427","454","27","23","10.5343/bms.2013.1009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897624659&doi=10.5343%2fbms.2013.1009&partnerID=40&md5=f8da17e307a7ec57f3727b5fb3f67fb2","School of Biological Sciences, University of Queensland, St Lucia, QLD 4072, Australia; Research Center for Capture Fisheries, Ministry of Marine Affairs and Fisheries, Ancol Timur, Jakarta Utara 14430, Jl. Pasir Putih I, Indonesia; Department of Zoology, University of Cambridge, Cambridge CB2 3EJ, Downing Street, United Kingdom; National Fisheries Research and Development Institute, Quezon, Corporate 101 Bldg., Philippines; Department of Marine Science, Faculty of Fisheries, Kasetsart University, Chatuchak, Bangkok 10900, 50 Ngamwongwan Road, Thailand; Central Marine Fisheries Research Institute, Kochi, 682018, Kerala, Post Box No.1603, India","Giles J.L., School of Biological Sciences, University of Queensland, St Lucia, QLD 4072, Australia; Ovenden J.R., School of Biological Sciences, University of Queensland, St Lucia, QLD 4072, Australia; Dharmadi D., Research Center for Capture Fisheries, Ministry of Marine Affairs and Fisheries, Ancol Timur, Jakarta Utara 14430, Jl. Pasir Putih I, Indonesia; Al Mojil D., Department of Zoology, University of Cambridge, Cambridge CB2 3EJ, Downing Street, United Kingdom; Garvilles E., National Fisheries Research and Development Institute, Quezon, Corporate 101 Bldg., Philippines; Khampetch K.-O., Department of Marine Science, Faculty of Fisheries, Kasetsart University, Chatuchak, Bangkok 10900, 50 Ngamwongwan Road, Thailand; Manjebrayakath H., Central Marine Fisheries Research Institute, Kochi, 682018, Kerala, Post Box No.1603, India; Riginos C., School of Biological Sciences, University of Queensland, St Lucia, QLD 4072, Australia","","J.L. Giles; School of Biological Sciences, University of Queensland, St Lucia, QLD 4072, Australia; email: jenny.giles@uq.edu.au","Article","Final","","Scopus","2-s2.0-84897624659"
"Shirasago-Germán B.; Pérez-Lezama E.L.; Chávez E.A.; García-Morales R.","Shirasago-Germán, Bernardo (6602941608); Pérez-Lezama, Edgar L. (58446374100); Chávez, Ernesto A. (7101817689); García-Morales, Ricardo (56481452800)","6602941608; 58446374100; 7101817689; 56481452800","Influence of El Niño-Southern Oscillation on the population structure of a sea lion breeding colony in the Gulf of California","2015","Estuarine, Coastal and Shelf Science","154","","","69","76","7","5","10.1016/j.ecss.2014.12.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920944377&doi=10.1016%2fj.ecss.2014.12.024&partnerID=40&md5=aca7c8da25aa368a24c80d9e58548390","Centro Interdisciplinario de Ciencias Marinas, Instituto Politécnico Nacional, Av. IPN s/n, C.P. 23090, La Paz, B.C.S., Mexico; Centro Regional de Investigación Pesquera-Instituto Nacional de Pesca, Carretera A Pichilingue Km1, s/n, Col. Esterito, La Paz, B.C.S., C.P. 23020, Mexico; Centro de Investigaciones Biológicas del Noroeste CIBNOR, Unidad Sonora, Campus Guaymas, Camino al Tular Estero de Bacochibampo, Guaymas, Sonora, C.P. 85465, Mexico","Shirasago-Germán B., Centro Interdisciplinario de Ciencias Marinas, Instituto Politécnico Nacional, Av. IPN s/n, C.P. 23090, La Paz, B.C.S., Mexico; Pérez-Lezama E.L., Centro Regional de Investigación Pesquera-Instituto Nacional de Pesca, Carretera A Pichilingue Km1, s/n, Col. Esterito, La Paz, B.C.S., C.P. 23020, Mexico; Chávez E.A., Centro Interdisciplinario de Ciencias Marinas, Instituto Politécnico Nacional, Av. IPN s/n, C.P. 23090, La Paz, B.C.S., Mexico; García-Morales R., Centro de Investigaciones Biológicas del Noroeste CIBNOR, Unidad Sonora, Campus Guaymas, Camino al Tular Estero de Bacochibampo, Guaymas, Sonora, C.P. 85465, Mexico","El Niño-Southern Oscillation; La Paz Bay; MEI and BEST indices; Population structure; Zalophus californianus","","Article","Final","","Scopus","2-s2.0-84920944377"
"Behrmann K.; Rehbein H.; Von Appen A.; Fischer M.","Behrmann, Konstanze (56632553200); Rehbein, Hartmut (35619347100); Von Appen, Annika (50061929100); Fischer, Markus (55504093500)","56632553200; 35619347100; 50061929100; 55504093500","Applying population genetics for authentication of marine fish: The case of saithe (Pollachius virens)","2015","Journal of Agricultural and Food Chemistry","63","3","","802","809","7","14","10.1021/jf506201m","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921955127&doi=10.1021%2fjf506201m&partnerID=40&md5=c1101815ce31369799c2b0d33cb9bd4d","Hamburg School of Food Science, University of Hamburg, Grindelallee 117, Hamburg, 20146, Germany; Federal Research Institute for Nutrition and Food, Department of Safety and Quality of Milk and Fish Products, Max-Rubner-Institut, Palmaille 9, Hamburg, 22767, Germany; Life Science, Hamburg University of Applied Sciences, Ulmenliet 20, Hamburg, 21033, Germany","Behrmann K., Hamburg School of Food Science, University of Hamburg, Grindelallee 117, Hamburg, 20146, Germany, Federal Research Institute for Nutrition and Food, Department of Safety and Quality of Milk and Fish Products, Max-Rubner-Institut, Palmaille 9, Hamburg, 22767, Germany; Rehbein H., Federal Research Institute for Nutrition and Food, Department of Safety and Quality of Milk and Fish Products, Max-Rubner-Institut, Palmaille 9, Hamburg, 22767, Germany; Von Appen A., Life Science, Hamburg University of Applied Sciences, Ulmenliet 20, Hamburg, 21033, Germany; Fischer M., Hamburg School of Food Science, University of Hamburg, Grindelallee 117, Hamburg, 20146, Germany","Microsatellites; Populations; RAPD; Saithe","","Article","Final","","Scopus","2-s2.0-84921955127"
"Gonzalez E.B.; Aritaki M.; Knutsen H.; Taniguchi N.","Gonzalez, Enrique Blanco (24075583300); Aritaki, Masato (55897445600); Knutsen, Halvor (19934084900); Taniguchi, Nobuhiko (7402210751)","24075583300; 55897445600; 19934084900; 7402210751","Effects of large-scale releases on the genetic structure of red sea bream (Pagrus major, Temminck et Schlegel) populations in Japan","2015","PLoS ONE","10","5","e0125743","","","","26","10.1371/journal.pone.0125743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949135617&doi=10.1371%2fjournal.pone.0125743&partnerID=40&md5=19f4e0651e997055e0e2bef39e83301f","Research Institute of Marine Bioresources, Fukuyama University, Onomichi, 722-2101, Japan; University of Agder, Kristiansand, N-4604, Norway; Institute of Marine Research (IMR), Flødevigen, His, N-4817, Norway; Coastal Fisheries and Aquaculture Division, Seikai National Fisheries Research Institute, Fisheries Research Agency, Nagasaki, 851-2213, Japan; Centre for Ecological and Evolutionary Synthesis (CEES), Department of Biosciences, University of Oslo, Blindern, N-0316, Norway","Gonzalez E.B., Research Institute of Marine Bioresources, Fukuyama University, Onomichi, 722-2101, Japan, University of Agder, Kristiansand, N-4604, Norway, Institute of Marine Research (IMR), Flødevigen, His, N-4817, Norway; Aritaki M., Coastal Fisheries and Aquaculture Division, Seikai National Fisheries Research Institute, Fisheries Research Agency, Nagasaki, 851-2213, Japan; Knutsen H., University of Agder, Kristiansand, N-4604, Norway, Institute of Marine Research (IMR), Flødevigen, His, N-4817, Norway, Centre for Ecological and Evolutionary Synthesis (CEES), Department of Biosciences, University of Oslo, Blindern, N-0316, Norway; Taniguchi N., Research Institute of Marine Bioresources, Fukuyama University, Onomichi, 722-2101, Japan","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84949135617"
"Labonté J.M.; Field E.K.; Lau M.; Chivian D.; Van Heerden E.; Wommack K.E.; Kieft T.L.; Onstott T.C.; Stepanauskas R.","Labonté, Jessica M. (8609244100); Field, Erin K. (35799483800); Lau, Maggie (55882671000); Chivian, Dylan (7801376848); Van Heerden, Esta (6602074565); Wommack, K. Eric (8077732800); Kieft, Thomas L. (7003863091); Onstott, Tullis C. (7006193558); Stepanauskas, Ramunas (55849846400)","8609244100; 35799483800; 55882671000; 7801376848; 6602074565; 8077732800; 7003863091; 7006193558; 55849846400","Single cell genomics indicates horizontal gene transfer and viral infections in a deep subsurface Firmicutes population","2015","Frontiers in Microbiology","6","APR","349","","","","52","10.3389/fmicb.2015.00349","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930946066&doi=10.3389%2ffmicb.2015.00349&partnerID=40&md5=4eb64ba2fd300747b18968075ff17890","Bigelow Laboratory for Ocean Sciences, East Boothbay, ME, United States; Department of Geosciences, Princeton University, Princeton, NJ, United States; Lawrence Berkeley National Laboratory, Berkeley, CA, United States; Department of Microbial, Biochemical and Food Biotechnology, University of the Free State, Bloemfontein, South Africa; Department of Plant and Soil Sciences, University of Delaware, Newark, DE, United States; Department of Biology, New Mexico Institute of Mining and Technology, Socorro, NM, United States","Labonté J.M., Bigelow Laboratory for Ocean Sciences, East Boothbay, ME, United States; Field E.K., Bigelow Laboratory for Ocean Sciences, East Boothbay, ME, United States; Lau M., Department of Geosciences, Princeton University, Princeton, NJ, United States; Chivian D., Lawrence Berkeley National Laboratory, Berkeley, CA, United States; Van Heerden E., Department of Microbial, Biochemical and Food Biotechnology, University of the Free State, Bloemfontein, South Africa; Wommack K.E., Department of Plant and Soil Sciences, University of Delaware, Newark, DE, United States; Kieft T.L., Department of Biology, New Mexico Institute of Mining and Technology, Socorro, NM, United States; Onstott T.C., Department of Geosciences, Princeton University, Princeton, NJ, United States; Stepanauskas R., Bigelow Laboratory for Ocean Sciences, East Boothbay, ME, United States","Desulforudis; Evolution; Horizontal gene transfer (HGT); Population genomics; Single cell genomics; Terrestrial deep subsurface; Transposable phages; Transposases","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84930946066"
"Meriam T.; Wafa T.; Khawla T.; Tarek H.; Abdeljelil G.; Mhamed E.","Meriam, Tir (56976237600); Wafa, Tombari (56403292500); Khawla, Telahigue (36673903100); Tarek, Hajji (56403179200); Abdeljelil, Ghram (6603046483); Mhamed, Elcafsi (56403406500)","56976237600; 56403292500; 36673903100; 56403179200; 6603046483; 56403406500","Genetic diversity and population structure of Sepia officinalis from the Tunisian cost revealed by mitochondrial COI sequences","2015","Molecular Biology Reports","42","1","","77","86","9","13","10.1007/s11033-014-3743-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922004848&doi=10.1007%2fs11033-014-3743-z&partnerID=40&md5=cbedba6c6c8924be1784ddf90c584265","University Campus, El Manar I, Tunis, 2092, Tunisia; Veterinary Microbiology Laboratory, Pasteur Institute of Tunis, Tunis-Belvédère, 1002, Tunisia","Meriam T., University Campus, El Manar I, Tunis, 2092, Tunisia; Wafa T., Veterinary Microbiology Laboratory, Pasteur Institute of Tunis, Tunis-Belvédère, 1002, Tunisia; Khawla T., University Campus, El Manar I, Tunis, 2092, Tunisia; Tarek H., University Campus, El Manar I, Tunis, 2092, Tunisia; Abdeljelil G., Veterinary Microbiology Laboratory, Pasteur Institute of Tunis, Tunis-Belvédère, 1002, Tunisia; Mhamed E., University Campus, El Manar I, Tunis, 2092, Tunisia","CO1 gene; Genetic differentiation; Sepia officinalis; Tunisian cost","","Article","Final","","Scopus","2-s2.0-84922004848"
"Kathirvelpandian A.; Gopalakrishnan A.; Lakra W.S.; Krishna G.; Sharma R.; Musammilu K.K.; Basheer V.S.; Jena J.K.","Kathirvelpandian, A. (56059495600); Gopalakrishnan, A. (14119839700); Lakra, W.S. (6603762132); Krishna, Gopal (56900729200); Sharma, Rupam (57211184073); Musammilu, K.K. (14625130000); Basheer, V.S. (14119370200); Jena, J.K. (6602079573)","56059495600; 14119839700; 6603762132; 56900729200; 57211184073; 14625130000; 14119370200; 6602079573","Microsatellite markers to determine population genetic structure in the golden anchovy, Coilia dussumieri","2014","Biochemical Genetics","52","5-6","","296","309","13","7","10.1007/s10528-014-9648-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901287046&doi=10.1007%2fs10528-014-9648-7&partnerID=40&md5=cd9df33ba5357fb6aec1d2b58cec73ef","National Bureau of Fish Genetic Resources, Kochi Unit, Cochin 682 018, Kerala, India; Central Marine Fisheries Research Institute, Cochin 682 018, Kerala, India; Central Institute of Fisheries Education, Mumbai 400 061, Maharashtra, India; National Bureau of Fish Genetic Resources, Lucknow 226 002, Uttar Pradesh, Canal Ring Road, India; Kochikkaran House, Kaipamangalam, Thrissur 682 681, Kerala, India","Kathirvelpandian A., National Bureau of Fish Genetic Resources, Kochi Unit, Cochin 682 018, Kerala, India; Gopalakrishnan A., Central Marine Fisheries Research Institute, Cochin 682 018, Kerala, India; Lakra W.S., Central Institute of Fisheries Education, Mumbai 400 061, Maharashtra, India; Krishna G., Central Institute of Fisheries Education, Mumbai 400 061, Maharashtra, India; Sharma R., Central Institute of Fisheries Education, Mumbai 400 061, Maharashtra, India; Musammilu K.K., Kochikkaran House, Kaipamangalam, Thrissur 682 681, Kerala, India; Basheer V.S., National Bureau of Fish Genetic Resources, Kochi Unit, Cochin 682 018, Kerala, India; Jena J.K., National Bureau of Fish Genetic Resources, Lucknow 226 002, Uttar Pradesh, Canal Ring Road, India","Coilia dussumieri; Cross-species amplification; Microsatellite validation; Population genetic structure","A. Kathirvelpandian; National Bureau of Fish Genetic Resources, Kochi Unit, Cochin 682 018, Kerala, India; email: kathirars@gmail.com","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84901287046"
