Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"Pamela Muñoz, Rattcliff Ambler, Cristian Bulboa","Settlement, Survival, and Post‐Larval Growth of Red Abalone, <i>Haliotis rufescens</i>, on Polycarbonate Plates Treated with Germlings of <i>Ulva</i> sp.",2012,Journal of the World Aquaculture Society,Wiley,https://doi.org/10.1111/j.1749-7345.2012.00615.x,,129,8/11/2025 21:21,journal-article,10.1111/j.1749-7345.2012.00615.x,0893-8849,,43,6,890,895,8,0.62,3,3,13,"The adequate development of the first stages of the red abalone,",https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1749-7345.2012.00615.x,
66,"E. S. Rosenblum, M. R. Viant, B. M. Braid, J. D. Moore, C. S. Friedman, R. S. Tjeerdema","Characterizing the metabolic actions of natural stresses in the California red abalone, Haliotis rufescens using 1H NMR metabolomics",2005,Metabolomics,Springer Science and Business Media LLC,https://doi.org/10.1007/s11306-005-4428-3,,130,8/11/2025 21:21,journal-article,10.1007/s11306-005-4428-3,1573-3882,,1,2,199,209,66,3.3,11,6,20,,http://link.springer.com/content/pdf/10.1007/s11306-005-4428-3.pdf,
20,"Yan Jiao, Laura Rogers-Bennett, Ian Taniguchi, John Butler, Paul Crone",Incorporating temporal variation in the growth of red abalone (Haliotis rufescens) using hierarchical Bayesian growth models,2010,Canadian Journal of Fisheries and Aquatic Sciences,Canadian Science Publishing,https://doi.org/10.1139/f10-019,,131,8/11/2025 21:21,journal-article,10.1139/f10-019,0706-652X,,67,4,730,742,20,1.33,4,5,15,"Many marine species exhibit temporal variation in individual growth. Yearly variation in growth has been identified for red abalone ( Haliotis rufescens ) in southern California, USA, but has not been previously incorporated into growth models. In this study, Bayesian hierarchical models were developed to describe variability in growth rates for the Johnsons Lee red abalone population. Although the Bayesian hierarchical modeling estimates are close to estimates of the nonhierarchical highly parameterized model that assigns an estimate of parameters to each data period when the sample sizes are high, the hyperparameters in the hierarchical model are more useful in incorporating the temporal variability into the stock assessment. By ignoring temporal variability, confidence intervals of the estimates of growth can be unrealistically narrow, possibly leading to bias when these models are used for developing biological reference points such as F",http://www.nrcresearchpress.com/doi/full-xml/10.1139/F10-019,
28,"Jorge Hernández, Iker Uriarte, María Teresa Viana, Renato Westermeier, Ana Farías",Growth performance of weaning red abalone (<i>Haliotis rufescens</i>) fed with<i>Macrocystis pyrifera</i>plantlets and<i>Porphyra columbina</i>compared with a formulated diet,2009,Aquaculture Research,Hindawi Limited,https://doi.org/10.1111/j.1365-2109.2009.02267.x,,132,8/11/2025 21:21,journal-article,10.1111/j.1365-2109.2009.02267.x,1355-557X,,40,15,1694,1702,28,1.75,6,5,16,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1365-2109.2009.02267.x,
5,"Robert T. Leaf, Allen H. Andrews, Gregor M. Cailliet, Thomas A. Brown","The Feasibility of Bomb Radiocarbon Analysis to Support an Age-at-length Relationship for Red Abalone, Haliotis rufescens Swainson in Northern California",2008,Journal of Shellfish Research,National Shellfisheries Association,https://doi.org/10.2983/0730-8000-27.5.1177,,133,8/11/2025 21:21,journal-article,10.2983/0730-8000-27.5.1177,0730-8000,,27,5,1177,1182,5,0.29,1,4,17,,,
9,"Isabelle P. Neylan, Daniel S. Swezey, Sara E. Boles, Jackson A. Gross, Andrew Sih, John J. Stachowicz",Within‐ and transgenerational stress legacy effects of ocean acidification on red abalone (<i>Haliotis rufescens</i>) growth and survival,2023,Global Change Biology,Wiley,https://doi.org/10.1111/gcb.17048,,134,8/11/2025 21:21,journal-article,10.1111/gcb.17048,1354-1013,,30,1,,,9,4.5,2,6,2,"Abstract: Understanding the mechanisms by which individual organisms respond and populations adapt to global climate change is a critical challenge. The role of plasticity and acclimation, within and across generations, may be essential given the pace of change. We investigated plasticity across generations and life stages in response to ocean acidification (OA), which poses a growing threat to both wild populations and the sustainable aquaculture of shellfish. Most studies of OA on shellfish focus on acute effects, and less is known regarding the longer term carryover effects that may manifest within or across generations. We assessed these longer term effects in red abalone (",https://onlinelibrary.wiley.com/doi/am-pdf/10.1111/gcb.17048,
55,"Yamira Cepero-Betancourt, Mauricio Opazo-Navarrete, Anja E.M. Janssen, Gipsy Tabilo-Munizaga, Mario Pérez-Won",Effects of high hydrostatic pressure (HHP) on protein structure and digestibility of red abalone (Haliotis rufescens) muscle,2020,Innovative Food Science &amp; Emerging Technologies,Elsevier BV,https://doi.org/10.1016/j.ifset.2019.102282,,135,8/11/2025 21:21,journal-article,10.1016/j.ifset.2019.102282,1466-8564,,60,,102282,102282,55,11,11,5,5,,https://api.elsevier.com/content/article/PII:S146685641930699X,
3,"Angélica Lizeth Toiber-Estrella, Adrián Quintero-Martínez, Adela Rodríguez-Romero, Héctor Riveros-Rosas, Alejandra Hernández-Santoyo",Structural and evolutionary insights into the multidomain galectin from the red abalone Haliotis rufescens with specificity for sulfated glycans,2022,Fish &amp; Shellfish Immunology,Elsevier BV,https://doi.org/10.1016/j.fsi.2022.11.015,,136,8/11/2025 21:21,journal-article,10.1016/j.fsi.2022.11.015,1050-4648,,131,,1264,1274,3,1,1,5,3,,https://api.elsevier.com/content/article/PII:S1050464822007604,
1,"Norma K. Hernández-Ibarra, Rosa M. Morelos, José L. Ramírez, Pedro Cruz, Andrew R. Leitch, Ana M. Ibarra",Chromosomal and molecular characterization of 5S rRNA genes in the North American abalones Haliotis rufescens Swainson (red abalone) and H. fulgens Philippi (blue abalone),2019,Gene,Elsevier BV,https://doi.org/10.1016/j.gene.2019.02.003,,137,8/11/2025 21:21,journal-article,10.1016/j.gene.2019.02.003,0378-1119,,695,,65,74,1,0.17,0,6,6,,https://api.elsevier.com/content/article/PII:S0378111919301039,
10,"Katherina Brokordt, Roxana González, William Farías, Federico E. Winkler, Karin B. Lohrmann",First insight into the heritable variation of the resistance to infection with the bacteria causing the withering syndrome disease in Haliotis rufescens abalone,2017,Journal of Invertebrate Pathology,Elsevier BV,https://doi.org/10.1016/j.jip.2017.08.014,,138,8/11/2025 21:21,journal-article,10.1016/j.jip.2017.08.014,0022-2011,,150,,15,20,10,1.25,2,5,8,,https://api.elsevier.com/content/article/PII:S0022201116302683,
16,"Juan Gabriel Correa-Reyes, María del Pilar Sánchez-Saavedra, María Teresa Viana, Norberto Flores-Acevedo, Carlos Vásquez-Peláez",Effect of eight benthic diatoms as feed on the growth of red abalone (Haliotis rufescens) postlarvae,2008,Journal of Applied Phycology,Springer Science and Business Media LLC,https://doi.org/10.1007/s10811-008-9381-x,,139,8/11/2025 21:21,journal-article,10.1007/s10811-008-9381-x,0921-8971,,21,4,387,393,16,0.94,3,5,17,,http://link.springer.com/content/pdf/10.1007/s10811-008-9381-x.pdf,
11,"Laura Rogers-Bennett, Richard F. Dondanville, Cynthia A. Catton, Christina I. Juhasz, Toyomitsu Horii, Masami Hamaguchi","Tracking Larval, Newly Settled, and Juvenile Red Abalone (<i>Haliotis rufescens</i>) Recruitment in Northern California",2016,Journal of Shellfish Research,National Shellfisheries Association,https://doi.org/10.2983/035.035.0305,,140,8/11/2025 21:21,journal-article,10.2983/035.035.0305,0730-8000,,35,3,601,609,11,1.22,2,6,9,,,
3,"Thomas B. Mccormick, Lorraine M. Buckley, Gabriela Navas, Gloria Barber, Brianne Billups, Vanessa Gill, Brianna Jones, Nicholas Peterson, Brianna Saylor, James Sayre",Larval Competency of Red Abalone (<i>Haliotis rufescens</i>): A New Timeframe for Larval Distribution.,2012,Journal of Shellfish Research,National Shellfisheries Association,https://doi.org/10.2983/035.031.0429,,141,8/11/2025 21:21,journal-article,10.2983/035.031.0429,0730-8000,,31,4,1183,1187,3,0.23,0,10,13,,,
4,"Yuelian Zou, Xin Xu, Qilin Hu, Yilei Wang, Huiping Yang, Ziping Zhang","Identification and diversity of fibrinogen-related protein (FREP) gene family in Haliotis discus hannai, H. rufescens, and H. laevigata and their responses to Vibrio parahemolyticus infection",2021,Fish &amp; Shellfish Immunology,Elsevier BV,https://doi.org/10.1016/j.fsi.2021.10.041,,142,8/11/2025 21:21,journal-article,10.1016/j.fsi.2021.10.041,1050-4648,,119,,613,622,4,1,1,6,4,,https://api.elsevier.com/content/article/PII:S1050464821003612,
12,"Joanna S Griffiths, Ruta M Sahasrabudhe, Mohan P A Marimuthu, Noravit Chumchim, Oanh H Nguyen, Eric Beraut, Merly Escalona, Andrew Whitehead","A draft reference genome of the red abalone, <i>Haliotis rufescens</i>, for conservation genomics",2022,Journal of Heredity,Oxford University Press (OUP),https://doi.org/10.1093/jhered/esac047,,143,8/11/2025 21:21,journal-article,10.1093/jhered/esac047,0022-1503,,113,6,673,680,12,4,2,8,3,"Abstract: Red abalone, Haliotis rufescens, are herbivorous marine gastropods that primarily feed on kelp. They are the largest and longest-lived of abalone species with a range distribution in North America from central Oregon, United States, to Baja California, MEX. Recently, red abalone have been in decline as a consequence of overharvesting, disease, and climate change, resulting in the closure of the commercial fishery in the 1990s and the recreational fishery in 2018. Protecting this ecologically and economically important species requires an understanding of their current population dynamics and connectivity. Here, we present a new red abalone reference genome as part of the California Conservation Genomics Project (CCGP). Following the CCGP genome strategy, we used Pacific Biosciences HiFi long reads and Dovetail Omni-C data to generate a scaffold-level assembly. The assembly comprises 616 scaffolds for a total size of 1.3 Gb, a scaffold N50 of 45.7 Mb, and a BUSCO complete score of 97.3%. This genome represents a significant improvement over a previous assembly and will serve as a powerful tool for investigating seascape genomic diversity, local adaptation to temperature and ocean acidification, and informing management strategies.",https://academic.oup.com/jhered/advance-article-pdf/doi/10.1093/jhered/esac047/46331776/esac047.pdf,
0,,Diatraea rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.18770,,144,8/11/2025 21:21,dataset,10.1079/cabicompendium.18770,,,,,,,0,0,0,0,6,,,
17,"James D. Moore, Blythe C. Marshman, Calvin S. Y. Chun","Health and Survival of Red Abalone <i>Haliotis rufescens</i> from San Miguel Island, California, USA, in a Laboratory Simulation of La Niña and El Niño Conditions",2011,Journal of Aquatic Animal Health,Oxford University Press (OUP),https://doi.org/10.1080/08997659.2011.568860,,145,8/11/2025 21:21,journal-article,10.1080/08997659.2011.568860,0899-7659,,23,2,78,84,17,1.21,6,3,14,"Abstract: The variability in Southern California's marine climate is dominated by the El Niño–Southern Oscillation, with cycling between El Niño events (characterized by warm water, low productivity, and frequent storms) and La Niña events (which exhibit the opposite conditions). Relative to the mainland and other Channel Islands, San Miguel Island (SMI) consistently maintains cooler water temperatures and supports significant populations of red abalone Haliotis rufescens, presumably owing to increased food production and diminished expression of the bacterial disease known as withering syndrome. We conducted a laboratory experiment to examine the effects of La Niña and El Niño conditions on the health and survival of red abalone from SMI. Six replicate tanks per treatment, each containing six abalone, were subjected to one of the following three temperature regimes (treatments): Bodega Bay, California ambient (AMB; mean, 11.4°C), SMI La Niña regime (LAN; mean, 13.8°C), and SMI El Niño regime (ELN; mean, 16.5°C). After 328 d, survival in the ELN treatment was significantly lower than in the AMB and LAN groups. A body condition index was significantly lower in the ELN group than in the AMB group, and the LAN group was in between. A visual score of body shrinkage was significantly higher in both the LAN and ELN groups than in the AMB group. Other clinical signs of withering syndrome and the prevalence and infection intensity of the causative agent, Candidatus Xenohaliotis californiensis, increased as temperature increased in the three treatment groups from AMB to LAN to ELN, although the differences were not statistically significant. Generally, we found that increased temperature resulted in elevated disease expression, although less than observed in previous studies that used farmed abalone and higher, less variable temperature regimes. Water temperature modulates the effect of withering syndrome in wild red abalone, and very strong El Niño events are predicted to result in significant mortality at San Miguel Island.",https://academic.oup.com/jaah/article-pdf/23/2/78/60978980/aah0078.pdf,
46,"Rick E Masonbrink, Catherine M Purcell, Sara E Boles, Andrew Whitehead, John R Hyde, Arun S Seetharam, Andrew J Severin","An Annotated Genome for <i>Haliotis rufescens</i> (Red Abalone) and Resequenced Green, Pink, Pinto, Black, and White Abalone Species",2019,Genome Biology and Evolution,Oxford University Press (OUP),https://doi.org/10.1093/gbe/evz006,,146,8/11/2025 21:21,journal-article,10.1093/gbe/evz006,1759-6653,,11,2,431,438,46,7.67,7,7,6,,http://academic.oup.com/gbe/article-pdf/11/2/431/27776245/evz006.pdf,
87,"Beverly A. Braid, James D. Moore, Thea T. Robbins, Ronald P. Hedrick, Ronald S. Tjeerdema, Carolyn S. Friedman","Health and survival of red abalone, Haliotis rufescens, under varying temperature, food supply, and exposure to the agent of withering syndrome",2005,Journal of Invertebrate Pathology,Elsevier BV,https://doi.org/10.1016/j.jip.2005.06.004,,147,8/11/2025 21:21,journal-article,10.1016/j.jip.2005.06.004,0022-2011,,89,3,219,231,87,4.35,15,6,20,,https://api.elsevier.com/content/article/PII:S0022201105000972,
33,"Tomoo Sawabe, Yusuke Fujimura, Kentaro Niwa, Hideaki Aono","Vibrio comitans sp. nov., Vibrio rarus sp. nov. and Vibrio inusitatus sp. nov., from the gut of the abalones Haliotis discus discus, H. gigantea, H. madaka and H. rufescens",2007,International Journal of Systematic and Evolutionary Microbiology,Microbiology Society,https://doi.org/10.1099/ijs.0.64789-0,,148,8/11/2025 21:21,journal-article,10.1099/ijs.0.64789-0,1466-5026,,57,5,916,922,33,1.83,8,4,18,"Nine alginolytic, facultatively anaerobic, non-motile bacteria were isolated from the guts of the abalones",https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64789-0?crawler=true,
0,"Ashley Vater, Barbara A Byrne, Blythe C Marshman, Lauren W Ashlock, James D Moore",Effects of novel bacteriophage on red abalone (<i>Haliotis rufescens</i>) and white abalone (<i>H. sorenseni</i>) exposed to <i>Candidatus </i>Xenohaliotis<i> </i>californiensis<i> – </i>the causative agent of abalone withering syndrome,2017,,PeerJ,https://doi.org/10.7287/peerj.preprints.3351v1,,149,8/11/2025 21:21,posted-content,10.7287/peerj.preprints.3351v1,,,,,,,0,0,0,5,8,The,https://peerj.com/preprints/3351v1.pdf,
2,"Yamira Cepero‐Betancourt, Gipsy Tabilo‐Munizaga, Roberto Lemus‐Mondaca, Mario Pérez‐Won, Ricardo Villalobos‐Carvajal, Luis Moreno‐Osorio","High pressure impregnation‐assisted drying of abalone ( <i>Haliotis rufescens</i> ) slices: Changes in protein conformation, thermal properties, and microstructure",2022,Journal of Food Processing and Preservation,Wiley,https://doi.org/10.1111/jfpp.16924,,150,8/11/2025 21:21,journal-article,10.1111/jfpp.16924,0145-8892,,46,10,,,2,0.67,0,6,3,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jfpp.16924,
29,"Mario Pérez-Won, Roberto Lemus-Mondaca, Gipsy Tabilo-Munizaga, Sebastián Pizarro, Seiji Noma, Noriyuki Igura, Mitsuya Shimoda",Modelling of red abalone ( Haliotis rufescens ) slices drying process: Effect of osmotic dehydration under high pressure as a pretreatment,2016,Innovative Food Science &amp; Emerging Technologies,Elsevier BV,https://doi.org/10.1016/j.ifset.2016.01.014,,151,8/11/2025 21:21,journal-article,10.1016/j.ifset.2016.01.014,1466-8564,,34,,127,134,29,3.22,4,7,9,,https://api.elsevier.com/content/article/PII:S1466856416300029,
0,,Helcystogramma rufescens,2017,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.109995,,152,8/11/2025 21:21,dataset,10.1079/cabicompendium.109995,,,,,,,0,0,0,0,8,,,
19,"CRISTIAN GALLARDO-ESCÁRATE, JOSUÉ ÁLVAREZ-BORREGO, MIGUEL ÁNGEL DEL RÍO-PORTILLA, ISMAEL CROSS, ALEJANDRO MERLO, LAUREANA REBORDINOS","Fluorescence in situ hybridization of rDNA, telomeric (TTAGGG)n and (GATA)n repeats in the red abalone Haliotis rufescens (Archaeogastropoda: Haliotidae)",2006,Hereditas,Springer Science and Business Media LLC,https://doi.org/10.1111/j.1601-5223.2005.01909.x,,153,8/11/2025 21:21,journal-article,10.1111/j.1601-5223.2005.01909.x,0018-0661,,142,2005,73,79,19,1,3,6,19,,,
0,,Antidesma rufescens,2017,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.7687,,154,8/11/2025 21:21,dataset,10.1079/cabicompendium.7687,,,,,,,0,0,0,0,8,,,
0,,Elephantulus rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.84729,,155,8/11/2025 21:21,dataset,10.1079/cabicompendium.84729,,,,,,,0,0,0,0,6,,,
0,,Protostrongylus rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.67915,,156,8/11/2025 21:21,dataset,10.1079/cabicompendium.67915,,,,,,,0,0,0,0,6,,,
0,,Egretta rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.84417,,157,8/11/2025 21:21,dataset,10.1079/cabicompendium.84417,,,,,,,0,0,0,0,6,,,
0,,Melomys rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.75646,,158,8/11/2025 21:21,dataset,10.1079/cabicompendium.75646,,,,,,,0,0,0,0,6,,,
0,,Meganoton rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.33762,,159,8/11/2025 21:21,dataset,10.1079/cabicompendium.33762,,,,,,,0,0,0,0,6,,,
15,"Jiddu Bezares, Zhangli Peng, Robert Asaro, Qiang Zhu",Macromolecular structure and viscoelastic response of the organic framework of nacre in Haliotis rufescens: A perspective and overview,2011,Theoretical and Applied Mechanics,National Library of Serbia,https://doi.org/10.2298/tam1102075b,,160,8/11/2025 21:21,journal-article,10.2298/tam1102075b,1450-5584,,38,2,75,106,15,1.07,4,4,14,"Nanoindentation probing on nacre obtained from Haliotis rufescens shells has demonstrated that nacre displays a combined viscoplastic-viscoelastic time dependent response. Additionally, it is found that the moisture/water content of nacre contributes to its time dependent behavior and overall mechanical properties. Detailed finite element simulations allow for the determination of constitutive parameters used to calibrate specific time dependent material models which are, in turn, compared to those found via independent measurement as reported in the literature. The results lead to a new paradigm for nacre?s attractive structural composite behavior and thereby to new potential pathways for biomimetics.",,
5,"Jiddu Bezares, Robert Asaro, Vlado Lubarda",Core structure of aligned chitin fibers within the interlamellar framework extracted from Haliotis rufescens nacre. Part I: Implications for growth and mechanical response,2012,Theoretical and Applied Mechanics,National Library of Serbia,https://doi.org/10.2298/tam1204343b,,161,8/11/2025 21:21,journal-article,10.2298/tam1204343b,1450-5584,,39,4,343,363,5,0.38,2,3,13,"By means of consecutive alkaline and proteolytic treatments of the organic framework?s interlamellar layers extracted from the nacre of H. rufescens, we have exposed a core of aligned parallel chitin fibers. Our findings both verify basic elements of the interlamellar layer structural model of Levi-Kalisman et al. (2001) and extend the more detailed model of Bezares et al. (2008, 2010). We observe via SEM imaging of square millimeter sized samples, which include numerous interlamellar layers and micron sized, yet nanocrystalline, CaCO3 tiles whose native orientation within the shell was first documented, that the chitin fibers in all layers are aligned normal to the growth direction of the shell. Similar alignment has been suggested in the literature for two other classes of mollusks, viz. N. rupertus and P. martensii (Weiner and Traub, 1983; Wada, 1958), suggesting that this may be a more general motif. We find that in order to expose the chitin core it is necessary to first remove protein by an alkaline treatment followed by enzymatic digestion with proteinase-K. We also observe what appear to be the points of traversal of the exposed chitin core by mineral bridges. The implications of these findings touch directly and most specifically upon the expected mechanical properties of organic framework layers such as stiffness and relaxation time constants, viz. they should be planeorthotropic. Single interlamellar layers extracted from nacre should, by implication, also exhibit an orthotropic stiffness. These novel findings provide the structural picture required for a complete anisotropic, time dependent, constitutive description of nacre long thought to be a paradigm of structural optimization. Such a model is briefly described herein and is developed, in full, in Part II of this series.",,
0,,Vochysia rufescens,2017,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.56621,,162,8/11/2025 21:21,dataset,10.1079/cabicompendium.56621,,,,,,,0,0,0,0,8,,,
8,"Jennifer K. K. Hofmeister, Shelby K. Kawana, Benjamin J. Walker, Cynthia A. Catton, Ian Taniguchi, Derek M. Stein, Kathleen Sowul, Laura Rogers-Bennett",Temporal and spatial patterns in behavioral responses of marine predators to a sudden influx of abalone prey (Haliotis rufescens),2018,Hydrobiologia,Springer Science and Business Media LLC,https://doi.org/10.1007/s10750-018-3514-2,,163,8/11/2025 21:21,journal-article,10.1007/s10750-018-3514-2,0018-8158,,813,1,123,136,8,1.14,1,8,7,,http://link.springer.com/content/pdf/10.1007/s10750-018-3514-2.pdf,
2,"Alfonso Gutiérrez Venegas, Tomás Correa Cárdenas, Roberto Flores Aguilar, Ricardo Searcy Bernal, Felipe Hurtado Ferreira",Effects of Diet and Feeding Regime on Growth and Survival of the Red Abalone<i>Haliotis rufescens</i>in Land-Based Tank Cultures in Southern Chile,2016,Journal of Shellfish Research,National Shellfisheries Association,https://doi.org/10.2983/035.035.0420,,164,8/11/2025 21:21,journal-article,10.2983/035.035.0420,0730-8000,,35,4,969,979,2,0.22,0,5,9,,http://www.bioone.org/doi/full-xml/10.2983/035.035.0420,
18,"M. A. Tripp-Valdez, F. Cicala, C. E. Galindo-Sánchez, K. D. Chacón-Ponce, E. López-Landavery, F. Díaz, D. Re-Araujo, F. Lafarga-De la Cruz",Growth Performance and Transcriptomic Response of Warm-Acclimated Hybrid Abalone Haliotis rufescens (♀) × H. corrugata (♂),2020,Marine Biotechnology,Springer Science and Business Media LLC,https://doi.org/10.1007/s10126-020-10002-7,,165,8/11/2025 21:21,journal-article,10.1007/s10126-020-10002-7,1436-2228,,23,1,62,76,18,3.6,2,8,5,,https://link.springer.com/content/pdf/10.1007/s10126-020-10002-7.pdf,
0,,Gigantodax rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.81336,,166,8/11/2025 21:21,dataset,10.1079/cabicompendium.81336,,,,,,,0,0,0,0,6,,,
0,,Luehea rufescens,2017,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.31685,,167,8/11/2025 21:21,dataset,10.1079/cabicompendium.31685,,,,,,,0,0,0,0,8,,,
0,,Ocotea rufescens,2017,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.36944,,168,8/11/2025 21:21,dataset,10.1079/cabicompendium.36944,,,,,,,0,0,0,0,8,,,
0,,Cupania rufescens,2017,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.17006,,169,8/11/2025 21:21,dataset,10.1079/cabicompendium.17006,,,,,,,0,0,0,0,8,,,
0,,Polyergus rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.42032,,170,8/11/2025 21:21,dataset,10.1079/cabicompendium.42032,,,,,,,0,0,0,0,6,,,
0,,Cantheconidea rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.14613,,171,8/11/2025 21:21,dataset,10.1079/cabicompendium.14613,,,,,,,0,0,0,0,6,,,
0,,Catachlorops rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.89471,,172,8/11/2025 21:21,dataset,10.1079/cabicompendium.89471,,,,,,,0,0,0,0,6,,,
0,,Asobara rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.7399,,173,8/11/2025 21:21,dataset,10.1079/cabicompendium.7399,,,,,,,0,0,0,0,6,,,
0,,Sennius rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.49579,,174,8/11/2025 21:21,dataset,10.1079/cabicompendium.49579,,,,,,,0,0,0,0,6,,,
0,,Ochotona rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.72730,,175,8/11/2025 21:21,dataset,10.1079/cabicompendium.72730,,,,,,,0,0,0,0,6,,,
0,,Scione rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.64703,,176,8/11/2025 21:21,dataset,10.1079/cabicompendium.64703,,,,,,,0,0,0,0,6,,,
0,,Calandrella rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.91030,,177,8/11/2025 21:21,dataset,10.1079/cabicompendium.91030,,,,,,,0,0,0,0,6,,,
0,,Pegomya rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.39886,,178,8/11/2025 21:21,dataset,10.1079/cabicompendium.39886,,,,,,,0,0,0,0,6,,,
0,,Aepyprymnus rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.94982,,179,8/11/2025 21:21,dataset,10.1079/cabicompendium.94982,,,,,,,0,0,0,0,6,,,
0,,Rhynchotus rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.66125,,180,8/11/2025 21:21,dataset,10.1079/cabicompendium.66125,,,,,,,0,0,0,0,6,,,
1,"Jeremie Bauer, Rodrigo Beas-Luna, Misael Emeterio-Cerecero, Juan Vaca-Rodríguez, Gabriela Montaño-Moctezuma, Julio Lorda",Growth and survival of juvenile red abalone ( <i>Haliotis rufescens</i> ) fed invasive macroalgae,2023,New Zealand Journal of Marine and Freshwater Research,Informa UK Limited,https://doi.org/10.1080/00288330.2023.2278735,,181,8/11/2025 21:21,journal-article,10.1080/00288330.2023.2278735,0028-8330,,59,1,88,100,1,0.5,0,6,2,,https://www.tandfonline.com/doi/pdf/10.1080/00288330.2023.2278735,
1,"A. Puget, H. Gouarderes",Sensibilité de l'Ochotone Afgan (Ochotona rufescens rufescens) au chlorure de cobalt,2010,Zentralblatt für Veterinärmedizin Reihe A,Wiley,https://doi.org/10.1111/j.1439-0442.1975.tb01468.x,,182,8/11/2025 21:21,journal-article,10.1111/j.1439-0442.1975.tb01468.x,0177-0543,,22,7,583,596,1,0.07,1,2,15,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1439-0442.1975.tb01468.x,
0,,Loxosceles rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.76742,,183,8/11/2025 21:21,dataset,10.1079/cabicompendium.76742,,,,,,,0,0,0,0,6,,,
0,,Bauhinia rufescens,2019,CABI Compendium,CABI Publishing,https://doi.org/10.1079/cabicompendium.8642,,184,8/11/2025 21:21,dataset,10.1079/cabicompendium.8642,,,,,,,0,0,0,0,6,,,
